site,date,observerEnc,encounterType,speciesEnc,bandNumber,colorCombo,age,sex,breedingCond,fat,mass,wing,tl,tarsus,notesEnc,timeEnc
BUISNORVA1,2008-07-13,NA,Band,GRCA,2301-56541,"O/A,W/Y",HY,U,NA,NA,35.4,90,NA,27.88,"yearColumn = 2008, Banded July 13 -",NA
BUISNORVA1,2008-07-13,NA,Band,GRCA,2301-56540,"W/A,BK/R",U,U,NA,NA,34.5,98,NA,27.71,"yearColumn = 2008, Banded July 13 -",NA
BUISNORVA1,2008-07-13,NA,Band,HOWR,2510-03831,"BK/A,O",HY,U,NA,NA,9.8,47,NA,16.12,"yearColumn = 2008, Banded July 13 -",NA
BUISNORVA1,2008-07-13,NA,Band,AMRO,1272-43016,"A/W,R",HY,U,NA,NA,68.9,123,NA,32.21,"yearColumn = 2008, Banded July 13 -",NA
BUISNORVA1,2008-07-13,NA,Band,GRCA,2301-56538,"W/A,BK/G",HY,U,NA,NA,33.5,82,NA,25.91,"yearColumn = 2008, Banded July 13 -",NA
BUISNORVA1,2008-07-13,NA,Band,NOCA,2301-56542,"R/BU,A",AHY,M,NA,NA,43.3,92,NA,24.47,"yearColumn = 2008, Banded July 13; yearColumn = 2009, resighted by participant 13 April -",NA
BUISNORVA1,2008-07-13,NA,Band,CACH,2510-03832,"P,A/P",HY,U,NA,NA,9.3,58,NA,15.8,"yearColumn = 2008, Banded July 13; yearColumn = 2011, resighted by participant 4 March -",NA
BUISNORVA1,2008-07-13,NA,Band,CACH,2510-03833,"BK/BK,A",HY,U,NA,NA,10.6,61,NA,16.53,"yearColumn = 2008, Banded July 13; yearColumn = 2009, resighted by participant 28 March; yearColumn = 2010, resighted by participant 5/29/10 -",NA
BUISNORVA1,2008-07-13,NA,Band,CACH,2510-03834,"A/R,Y",HY,U,NA,NA,9.7,56,NA,17.25,"yearColumn = 2008, Banded July 13; yearColumn = 2009, resighted by participant 13 Feb, 28 March -",NA
BUISNORVA1,2008-07-13,NA,Band,SOSP,2341-29327,"W,A/BK",U,U,NA,NA,19.1,65,NA,21.05,"yearColumn = 2008, Banded July 13; yearColumn = 2012, resighted by participant 25 May -",NA
BUISNORVA1,2008-07-13,NA,Band,GRCA,2301-56539,"W/A,BK/P",HY,U,NA,NA,34.1,89,NA,28.25,"yearColumn = 2008, Banded July 13; yearColumn = 2009, recaught 6/7/2009 -",NA
BUISNORVA1,2009-06-07,NA,Band,GRCA,2411-37111,"PK,R/A",AHY,M,NA,NA,35.6,89,NA,28.2,"yearColumn = 2009, banded 6/7/09 -",NA
BUISNORVA1,2009-06-07,NA,Band,CARW,2441-13707,"A/BL,O",AHY,F,NA,NA,20,54,NA,21.13,"yearColumn = 2009, banded 6/7/2009 -",NA
BUISNORVA1,2009-06-07,NA,Band,NOCA,2411-37112,"P/O,A",AHY,M,NA,NA,43.2,93,NA,24.72,"yearColumn = 2009, banded 6/7/2009; yearColumn = 2010, resighted by participant 5/29/10; yearColumn = 2011, resighted by participant 02/27/2011 -",NA
BUISNORVA1,2009-06-07,NA,Band,CACH,2590-82207,"PK,A/G",AHY,M,NA,NA,10.6,60,NA,15.76,"yearColumn = 2009, banded 6/7/2009; yearColumn = 2010, resighted by participant 02/27/2011 -",NA
BUISNORVA1,2009-06-07,NA,Band,CACH,2590-82208,"PK/A,BU",AHY,M,NA,NA,10.5,63,NA,15.27,"yearColumn = 2009, banded 6/7/2009; yearColumn = 2010, resighted by participant 11-13-2010 -",NA
BUISNORVA1,2009-06-07,NA,Recap,GRCA,2301-56539,"W/A,BK/P",HY,U,NA,NA,33.6,NA,NA,NA,"yearColumn = 2008, Banded July 13; yearColumn = 2009, recaught 6/7/2009 -",NA
BUISNORVA1,2010-05-29,NA,Band,GRCA,2301-56997,"W/R,A",AHY,F,NA,NA,37,87,NA,28.92,"yearColumn = 2010, banded 5/29/10 -",NA
BUISNORVA1,2010-05-29,NA,Band,GRCA,2301-56998,"O,BU/A",AHY,F,NA,NA,34.4,86,NA,27.39,"yearColumn = 2010, banded 5/29/10 -",NA
BUISNORVA1,2010-05-29,NA,Band,GRCA,2301-56999,"P,A/BK",AHY,F,NA,NA,35.7,88,NA,27.68,"yearColumn = 2010, banded 5/29/10 -",NA
BUISNORVA1,2010-05-29,NA,Band,GRCA,2301-57000,"A,P/Y",AHY,M,NA,NA,32.4,88,NA,26.63,"yearColumn = 2010, banded 5/29/10 -",NA
BUISNORVA1,2010-05-29,NA,Band,CARW,2441-14065,"W/A,W",AHY,U,NA,NA,20.1,60.5,NA,22.83,"yearColumn = 2010, banded 5/29/10 -",NA
BUISNORVA1,2010-05-29,NA,Band,CACH,2590-82472,"R,G/A",U,U,NA,NA,10.1,63,NA,15.79,"yearColumn = 2010, banded 5/29/10; resighted by participant 11-13-2010 -",NA
BUISNORVA1,2010-05-29,NA,Band,GRCA,2411-37794,"G/O,A",AHY,M,NA,NA,36.5,90,NA,27.56,"yearColumn = 2010, banded 5/29/10 -",NA
BUISNORVA1,2010-05-29,NA,Band,CARW,2441-14066,"BU/BU,A",HY,U,NA,NA,18,59,NA,21.61,"yearColumn = 2010, banded 5/29/10 -",NA
BUISNORVA1,2010-05-29,NA,Band,NOCA,2301-56996,"BU/A,Y",AHY,F,NA,NA,42.1,90,NA,23.43,"yearColumn = 2010, banded 5/29/10; yearColumn = 2011, resighted by participant 02/27/2011; yearColumn = 2012, resighted by participant 03/23/2012; yearColumn = 2013, resighted by participant 4/4/13 -",NA
BUISNORVA1,2010-05-29,NA,Band,AMRO,1292-64247,"A,W/W",AHY,M,NA,NA,69.4,125,NA,32.84,"yearColumn = 2010, banded 5/29/10; yearColumn = 2012, resighted by participant 25 May -",NA
BUISNORVA1,2010-05-29,NA,Band,GRCA,2411-37793,"BU,Y/A",AHY,M,NA,NA,35.4,88,NA,27.87,"yearColumn = 2010, banded 5/29/10; yearColumn = 2011, resighted by participant 04/26/2011; yearColumn = 2012, recaptured 5/26/2012 -",NA
BUISNORVA1,2010-05-29,NA,Band,SOSP,2441-14067,"A,PK/Y",AHY,F,NA,NA,22.9,63,NA,21.38,"yearColumn = 2010, banded 5/29/10; yearColumn = 2011, resighted by participant 9 May -",NA
BUISNORVA1,2010-05-29,NA,Band,SOSP,2441-14068,"G,A/BK",AHY,M,NA,NA,20.9,65.5,NA,21.92,"yearColumn = 2010, banded 5/29/10; yearColumn = 2011, resighted by participant 20 March -",NA
BUISNORVA1,2012-05-26,NA,Band,CARW,2341-30356,"A,R/Y",AHY,F,NA,NA,22.5,58,NA,21.78,"yearColumn = 2012, captured 5/26/2012 -",NA
BUISNORVA1,2012-05-26,NA,Band,CARW,2341-30357,"G,Y/A",AHY,U,NA,NA,22,56,NA,21.74,"yearColumn = 2012, captured 5/26/2012 -",NA
BUISNORVA1,2012-05-26,NA,Band,CARW,2341-30358,"A/BU,G",HY,U,NA,NA,19.9,56,NA,22.28,"yearColumn = 2012, captured 5/26/2012 -",NA
BUISNORVA1,2012-05-26,NA,Band,CARW,2341-30359,"Y/PK,A",HY,U,NA,NA,17.3,57,NA,22.07,"yearColumn = 2012, captured 5/26/2012 -",NA
BUISNORVA1,2012-05-26,NA,Band,CACH,2510-04393,"A/G,Y",AHY,M,NA,NA,9.5,61,NA,15.24,"yearColumn = 2012, captured 5/26/2012; yearColumn = 2013, resighted by participant 4/4/12; yearColumn = 2014, resighted 4/27/2014; yearColumn = 2015, RECAPTURED! on 4/27/15 -",NA
BUISNORVA1,2012-05-26,NA,Recap,GRCA,2411-37793,"BU,Y/A",NA,NA,NA,NA,NA,NA,NA,NA,"yearColumn = 2010, banded 5/29/10; yearColumn = 2011, resighted by participant 04/26/2011; yearColumn = 2012, recaptured 5/26/2012 ",NA
BUISNORVA1,2013-07-20,NA,Band,SOSP,2661-31523,"Y/A,W",AHY,M,NA,NA,21.7,66,NA,21.34,"yearColumn = 2013, banded 7/20 -",NA
BUISNORVA1,2013-07-20,NA,Band,NOCA,2531-74565,"A,R/G",AHY,F,NA,NA,44,93,NA,24.2,"yearColumn = 2013, banded 7/20 -",NA
BUISNORVA1,2013-07-20,NA,Band,CARW,2661-31524,"A/BU,BU",HY,U,NA,NA,20.9,63,NA,22.45,"yearColumn = 2013, banded 7/20 -",NA
BUISNORVA1,2013-07-20,NA,Band,GRCA,2531-74566,"A,W/BK",AHY,M,NA,NA,38.2,92,NA,29.05,"yearColumn = 2013, banded 7/20 -",NA
BUISNORVA1,2013-07-20,NA,Band,CARW,2661-31525,"A/G,O",HY,U,NA,NA,18.5,58,NA,22.6,"yearColumn = 2013, banded 7/20/13 -",NA
BUISNORVA1,2013-07-20,NA,Band,NOCA,2531-74568,"W,BK/A",NA,NA,NA,NA,NA,NA,NA,NA,"yearColumn = 2013, banded 7/20/13 ",NA
BUISNORVA1,2013-07-20,NA,Band,NOCA,2531-74567,"O/PK,A",AHY,M,NA,NA,39.6,91,NA,24.95,"yearColumn = 2013, banded 7/20/13; yearColumn = 2014, resighted by techs; yearColumn = 2015, Resighted 7/6/2015 -",NA
BUISNORVA1,2014-06-24,NA,Band,NOCA,2641-63782,"W,BU/A",AHY,F,NA,NA,43.8,88.5,NA,24.34,"yearColumn = 2014, BANDED 6/24/2014 -",NA
BUISNORVA1,2014-06-24,NA,Band,NOCA,2641-63783,"A,Y/W",AHY,F,NA,NA,45.6,87,NA,24.71,"yearColumn = 2014, BANDED 6/24/2014 -",NA
BUISNORVA1,2014-06-24,NA,Band,NOCA,2641-63784,"O,A/G",AHY,M,NA,NA,46.8,94,NA,24.88,"yearColumn = 2014, BANDED 6/24/2014 -",NA
BUISNORVA1,2014-06-24,NA,Band,CARW,2571-90062,"W/A,BU",AHY,F,NA,NA,21.2,55,NA,21.28,"yearColumn = 2014, BANDED 6/24/2014 -",NA
BUISNORVA1,2014-06-24,NA,Band,AMRO,1652-46211,"Y,A/PK",AHY,F,NA,NA,89.4,123,NA,33.1,"yearColumn = 2014, BANDED 6/24/2014 -",NA
BUISNORVA1,2014-06-24,NA,Band,AMRO,1352-46212,"A/G,G",AHY,M,NA,NA,71.4,119,NA,33.01,"yearColumn = 2014, BANDED 6/24/2014 -",NA
BUISNORVA1,2014-06-24,NA,Band,CARW,2571-90063,"W/A,R",AHY,F,NA,NA,21.5,59,NA,21.76,"yearColumn = 2014, BANDED 6/24/2014; yearColumn = 2015, Resighted 7/6/2015 -",NA
BUISNORVA1,2015-04-27,NA,Recap,CACH,2510-04393,"A/G,Y",AHY,M,NA,NA,9.5,NA,NA,NA,"yearColumn = 2012, captured 5/26/2012; yearColumn = 2013, resighted by participant 4/4/12; yearColumn = 2014, resighted 4/27/2014; yearColumn = 2015, RECAPTURED! on 4/27/15 -",NA
BUISNORVA1,2015-07-06,NA,Band,NOCA,2421-11393,"Y,A/P",AHY,M,NA,NA,45.6,99,NA,24.51,"yearColumn = 2015, Banded 7/6/2015. -",NA
BUISNORVA1,2015-07-06,NA,Band,CACH,2750-41401,"O/A,W",AHY,F,NA,NA,10.5,63,NA,19.25,"yearColumn = 2015, Banded 7/6/2015 -",NA
BUISNORVA1,2015-07-06,NA,Band,CACH,2750-41402,"R/P,A",AHY,F,NA,NA,9.7,60,NA,17.37,"yearColumn = 2015, Banded 7/6/2015 -",NA
BUISNORVA1,2015-07-06,NA,Band,SOSP,2661-31882,"O/A,R",AHY,M,NA,NA,20.5,65,NA,21.31,"yearColumn = 2015, Banded 7/6/2015. -",NA
BUISNORVA1,2015-07-06,NA,Band,CARW,2661-31883,"A/Y,O",AHY,F,NA,NA,20,59,NA,21.15,"yearColumn = 2015, Banded 7/6/2015. -",NA
STEWBETMD1,2007-06-15,NA,Band,SOSP,2281-69406,"A/P,O",AHY,M,NA,NA,20.9,66,NA,21.5,"yearColumn = 2007, Banded June 15; yearColumn = 2008, resighted by participant 13 April, recaptured 7/8/08; yearColumn = 2009, resighted by participant 5 april Recap 5/13/2009; yearColumn = 2010, resighted 6/5/2010; by participant 26 sept.; yearColumn = 2013, resighted by participant 28 April -",NA
STEWBETMD1,2007-06-15,NA,Band,GRCA,1951-41090,"P,A/G",AHY,M,NA,NA,34.5,93,NA,28,"yearColumn = 2007, Banded 19 June; yearColumn = 2008, resighted by participant 2 May -",NA
STEWBETMD1,2007-06-15,NA,Band,SOSP,2281-69408,"R/BU,A",AHY,M,NA,NA,20.5,68,NA,20.6,"yearColumn = 2007, Banded 15 June; yearColumn = 2009, Resight 5/13/2009 -",NA
STEWBETMD1,2007-06-19,NA,Band,SOSP,2281-69407,"A,BU/G",AHY,M,NA,NA,19.7,67,NA,22.5,"yearColumn = 2007, Banded 19 June -",NA
STEWBETMD1,2008-07-08,NA,Recap,SOSP,2281-69406,"A/P,O",AHY,M,NA,NA,19.4,NA,NA,NA,"yearColumn = 2007, Banded June 15; yearColumn = 2008, resighted by participant 13 April, recaptured 7/8/08; yearColumn = 2009, resighted by participant 5 april Recap 5/13/2009; yearColumn = 2010, resighted 6/5/2010; by participant 26 sept.; yearColumn = 2013, resighted by participant 28 April -",NA
STEWBETMD1,2008-07-08,NA,Band,GRCA,2301-56638,"Y/PK,A",AHY,M,NA,NA,34.8,90,NA,27.47,"yearColumn = 2008, banded_7/8/08 -",NA
STEWBETMD1,2008-07-08,NA,Band,CACH,2540-62838,"W,W/A",HY,U,NA,NA,9.6,60,NA,15.42,"yearColumn = 2008, banded_7/8/08 -",NA
STEWBETMD1,2008-07-08,NA,Band,HOWR,2540-62839,"BK/Y,A",AHY,M,NA,NA,10.4,50,NA,16.54,"yearColumn = 2008, banded_7/8/08 -",NA
STEWBETMD1,2008-07-08,NA,Band,HOWR,2540-62840,"W,A/BU",AHY,F,NA,NA,10.2,49,NA,16.44,"yearColumn = 2008, banded_7/8/08 -",NA
STEWBETMD1,2008-07-08,NA,Band,CACH,2540-62841,"BK/Y,A",HY,U,NA,NA,9.6,60,NA,15.4,"yearColumn = 2008, banded_7/8/08 -",NA
STEWBETMD1,2008-07-08,NA,Band,GRCA,2301-56636,"A/W,PK",AHY,M,NA,NA,33.6,90,NA,27.44,"yearColumn = 2008, banded 7/8/08; yearColumn = 2009, Resight by participant, 5/13/2009 -",NA
STEWBETMD1,2008-07-08,NA,Band,GRCA,2301-56637,"A,BU/PK",AHY,F,NA,NA,33.4,90,NA,27.79,"yearColumn = 2008, banded_7/8/08; yearColumn = 2010, resighted by participant 29 April; recaptured 6/5/2010 -",NA
STEWBETMD1,2008-07-08,NA,Band,NOCA,2301-56639,"P/BK,A",AHY,F,NA,NA,38,90,NA,24.94,"yearColumn = 2008, banded_7/8/08; yearColumn = 2009, resighted by participant 5 April -",NA
STEWBETMD1,2008-07-08,NA,Band,CACH,2540-62837,"A,BU",HY,U,NA,NA,10.3,60,NA,17.08,"yearColumn = 2008, banded_7/8/08; yearColumn = 2013, resighted 6/22/2013 -",NA
STEWBETMD1,2008-07-08,NA,Band,NOCA,2301-56640,"O,A/G",AHY,F,NA,NA,45.9,88,NA,25.21,"yearColumn = 2008, banded_7/8/08; yearColumn = 2009, resighted by participant 29 May -",NA
STEWBETMD1,2008-07-08,NA,Band,NOCA,2301-56641,"Y,Y/A",AHY,F,NA,NA,47.8,NA,NA,NA,"yearColumn = 2008, banded_7/8/08; yearColumn = 2010, resighted 21 march by participant; resighted 6/5/2010; yearColumn = 2011, resighted by participant 01/14/2012; yearColumn = 2012, resighted by participant 6 May -",NA
STEWBETMD1,2008-07-08,NA,Band,SOSP,2281-69491,"BK,A/BU",AHY,M,NA,NA,20.4,65,NA,22.42,"yearColumn = 2008, banded_7/8/08; yearColumn = 2009, Resight 5/13/2009 -",NA
STEWBETMD1,2009-05-13,NA,Recap,SOSP,2281-69406,"A/P,O",AHY,M,NA,NA,21,NA,NA,NA,"yearColumn = 2007, Banded June 15; yearColumn = 2008, resighted by participant 13 April, recaptured 7/8/08; yearColumn = 2009, resighted by participant 5 april Recap 5/13/2009; yearColumn = 2010, resighted 6/5/2010; by participant 26 sept.; yearColumn = 2013, resighted by participant 28 April -",NA
STEWBETMD1,2009-05-13,NA,Band,CACH,2540-62886,"Y,A/P",SY,M,NA,NA,9,63.5,NA,16.65,"yearColumn = 2009, Banded 5/13/2009 -",NA
STEWBETMD1,2009-05-13,NA,Band,GRCA,2301-56504,"A/PK,P",AHY,F,NA,NA,38,85,NA,27.42,"yearColumn = 2009, Banded 5/13/2009 -",NA
STEWBETMD1,2009-05-13,NA,Band,GRCA,2301-56503,"G/PK,A",AHY,M,NA,NA,35,91.5,NA,27.96,"yearColumn = 2009, Banded 5/13/2009; yearColumn = 2010, resighted by participant 13 May, 5 June; yearColumn = 2011, resighted by participant 06/16/2011 -",NA
STEWBETMD1,2009-05-13,NA,Band,CACH,2540-62887,"BU/P,A",AHY,M,NA,NA,10,63,NA,15.34,"yearColumn = 2009, Banded 5/13/2009; yearColumn = 2010, resighted by participant 13 May, 5 June; 26 Sept; resighted 6/5/2010 -",NA
STEWBETMD1,2009-05-13,NA,Band,SOSP,2540-62885,"BK/A,O",AHY,F,NA,NA,9,58,NA,14.78,"yearColumn = 2009, Banded 5/13/2009; yearColumn = 2010, found dead in nest box by participant 20 march -",NA
STEWBETMD1,2010-06-05,NA,Recap,GRCA,2301-56637,"A,BU/PK",AHY,F,NA,NA,37.2,NA,NA,NA,"yearColumn = 2008, banded_7/8/08; yearColumn = 2010, resighted by participant 29 April; recaptured 6/5/2010 -",NA
STEWBETMD1,2010-06-05,NA,Band,HOWR,2590-83315,"PK,A/Y",AHY,M,NA,NA,10.3,49,NA,17.67,"yearColumn = 2010, banded 6/5/2010 -",NA
STEWBETMD1,2010-06-05,NA,Band,GRCA,2421-11708,"R/A,G",AHY,M,NA,NA,34.2,92,NA,29.3,"yearColumn = 2010, banded 6/5/10 -",NA
STEWBETMD1,2010-06-05,NA,Band,GRCA,2421-11709,"BU/A,W",AHY,M,NA,NA,35.3,92.5,NA,27.73,"yearColumn = 2010, banded 6/5/10; yearColumn = 2012, Resight 5/10/2012 -",NA
STEWBETMD1,2012-05-10,NA,Band,CARW,2441-96452,"G,A/R",AHY,M,NA,NA,20.7,59,NA,22.38,"yearColumn = 2012, Capture 5/10/2012 -",NA
STEWBETMD1,2012-05-10,NA,Band,GRCA,791-17238,"O/BU,A",AHY,M,NA,NA,37.7,91,NA,28.54,"yearColumn = 2012, Capture 5/10/2012 -",NA
STEWBETMD1,2012-05-10,NA,Band,CACH,2590-83190,"G/A,G",AHY,M,NA,NA,9.6,63,NA,15.22,"yearColumn = 2012, Capture 5/10/2012 -",NA
STEWBETMD1,2012-05-10,NA,Band,AMRO,1272-43138,"A,Y/PK",AHY,F,NA,NA,76.8,129,NA,32.33,"yearColumn = 2012, Capture 5/10/2012 -",NA
STEWBETMD1,2012-05-10,NA,Band,GRCA,791-17239,"R,A/R",AHY,F,NA,NA,43.3,89,NA,27.41,"yearColumn = 2012, Capture 5/10/2012 -",NA
STEWBETMD1,2012-05-10,NA,Band,SOSP,2441-96450,"Y/A,Y",AHY,M,NA,NA,19.4,67,NA,20.83,"yearColumn = 2012, captured 5/10/2012 -",NA
STEWBETMD1,2012-05-10,NA,Band,SOSP,2441-96451,"W/A,O",AHY,M,NA,NA,22,70,NA,22.21,"yearColumn = 2012, Capture 5/10/2012; yearColumn = 2013, resighted 6/22/2013 -",NA
STEWBETMD1,2013-05-13,NA,Band,CACH,2710-25919,"O,R/A",SY,F,NA,NA,9.3,58.5,NA,15.77,"yearColumn = 2013, Banded 5/13/2013 -",NA
STEWBETMD1,2013-05-18,NA,Band,CACH,2710-25933,"BU/Y,A",SY,M,NA,NA,8.2,60,NA,15.05,"yearColumn = 2013, Banded 5/18; yearColumn = 2014, resighted by participant 4/16/2014, recaptured 5/5/2014; yearColumn = 2015, resighted 4/23/2015 -",NA
STEWBETMD1,2013-05-23,NA,Band,HOWR,2710-25952,"A/O,O",ASY,M,NA,NA,11.2,50.5,NA,17.37,"yearColumn = 2013, banded 5/23 -",NA
STEWBETMD1,2013-05-23,NA,Band,HOWR,2710-25953,"R,A/BU",SY,F,NA,NA,12.5,49,NA,17.23,"yearColumn = 2013, banded 5/23 -",NA
STEWBETMD1,2013-06-22,NA,Band,SOSP,2661-31506,"A,BU/G",AHY,M,NA,NA,21,64,NA,21.03,"yearColumn = 2013, Banded 6/22/2013 -",NA
STEWBETMD1,2013-06-22,NA,Band,SOSP,2661-31507,"A,PK/P",HY,U,NA,NA,23.5,66,NA,22.46,"yearColumn = 2013, Banded 6/22/2013 -",NA
STEWBETMD1,2013-06-22,NA,Band,CACH,2660-75743,"Y,A/W",HY,U,NA,NA,9.4,62.5,NA,17.9,"yearColumn = 2013, Banded 6/22 -",NA
STEWBETMD1,2014-05-05,NA,Recap,CACH,2710-25933,"BU/Y,A",SY,M,NA,NA,9.2,NA,NA,NA,"yearColumn = 2013, Banded 5/18; yearColumn = 2014, resighted by participant 4/16/2014, recaptured 5/5/2014; yearColumn = 2015, resighted 4/23/2015 -",NA
STEWBETMD1,2014-05-05,NA,Band,SOSP,2661-31541,"PK/A,R",AHY,M,NA,NA,20.7,67,NA,20.38,"yearColumn = 2014, banded 5/5/2014 -",NA
STEWBETMD1,2014-05-05,NA,Band,CARW,2661-31539,"Y,R/A",U,U,NA,NA,NA,60,NA,NA,"yearColumn = 2014, banded 5/5/2014; yearColumn = 2015, resighted by particpant 10 May -",NA
STEWBETMD1,2014-05-05,NA,Band,SOSP,2661-31540,"O/BU,A",ASY,M,NA,NA,21.9,67,NA,21.13,"yearColumn = 2014, banded 5/5/2014; yearColumn = 2015, Resighted 7/29/15 -",NA
STEWBETMD1,2014-05-05,NA,Band,CARW,2661-31543,"-,A",AHY,F,NA,NA,NA,56,NA,20.36,"yearColumn = 2014, banded 5/5/2014; yearColumn = 2015, Resighted 7/29/15 -",NA
STEWBETMD1,2014-05-17,NA,Band,CACH,2730-24729,"PK,A/PK",SY,F,NA,NA,9.7,56,NA,15.25,"yearColumn = 2014, banded 5/17/2014; yearColumn = 2015, resighted by participant -",NA
STEWBETMD1,2014-05-19,NA,Band,HOWR,2730-24730,"G,A/PU",AHY,M,NA,NA,NA,47.5,NA,17,"yearColumn = 2014, banded 5/19/2014 -",NA
STEWBETMD1,2015-07-29,NA,Band,CACH,2750-41362,"Y/A,O",AHY,F,NA,NA,10,60,NA,16.06,"yearColumn = 2015, Banded 7/29/15 -",NA
STEWBETMD1,2015-07-29,NA,Band,CACH,2750-41361,"A/R,W",HY,U,NA,NA,9.3,60,NA,15.96,"yearColumn = 2015, Banded 7/29/15 -",NA
STEWBETMD1,2015-07-29,NA,Band,AMRO,1292-64583,"PK,G/A",AHY,M,NA,NA,78.9,125,NA,32.57,"yearColumn = 2015, Banded 7/29/15 -",NA
STEWBETMD1,2015-07-29,NA,Band,CARW,2711-77643,"W/A,P",AHY,M,NA,NA,19.9,58,NA,21.81,"yearColumn = 2015, Banded 7/29/15 -",NA
STEWBETMD1,2015-07-29,NA,Band,GRCA,2651-56776,"PK/R,A",SY,F,NA,NA,36,78,NA,NA,"yearColumn = 2015, Banded 7/29/15 -",NA
STEWBETMD1,2015-07-29,NA,Band,GRCA,2651-56777,"A,PK/BK",ASY,M,NA,NA,37.2,90,NA,27.18,"yearColumn = 2015, Banded 7/29/15 -",NA
STEWBETMD1,2016-04-12,"JM, EF, KK, RR",Band,SOSP,2661-07694," Y/BK,A",AHY,M,CP+,0,22,71,60,NA,feather sample taken,09:15
STEWBETMD1,2016-04-12,"JM, EF, KK, RR",Band,NOCA,2651-56204," G,G/A",AHY,F,NA,1,40.5,94,95,NA,NA,09:47
STEWBETMD1,2016-04-12,"JM, EF, KK, RR",Band,CACH,2710-54232," W,A/G",SY,M,CP,0,10.4,62,55,NA,feather sample taken,10:00
STEWBETMD1,2016-04-12,"JM, EF, KK, RR",Band,CACH,2710-54233," A/O,P",SY,F,BP,1,11.1,59,40,NA,feather sample taken,10:00
STEWBETMD1,2016-04-12,"JM, EF, KK, RR",Band,AMRO,1352-46108," R,O/A",AHY,M,CP,0,71,131,105,NA,NA,10:20
STEWBETMD1,2016-04-12,"JM, EF, KK, RR",Band,AMRO,1352-46109," W,BK/A",AHY,UNK,NA,0,73.1,126,92,NA,NA,10:30
VONGJENMD1,2016-07-07,"KJW,MAR",Band,NOCA,2651-47574,"R,A/P",AHY,F,BP,0.5,26.1,90,99,24.52,Molting secondary coverts,08:21
VONGJENMD1,2016-07-07,"KJW,MAR",Band,CARW,2711-77566,"Y/Y,A",AHY,UNK,NA,0.5,11.4,54,53.5,20.17,NA,08:49
VONGJENMD1,2016-07-07,"KJW,MAR",Band,SOSP,2711-77567,"G/A,O",AHY,M,CP,0.5,12.2,65,67,21.95,NA,09:24
VONGJENMD1,2016-07-07,"KJW,MAR",Band,CARW,2711-77568,"P,A/G",AHY,F,BP,0.5,11.6,59,50,21.84,NA,09:55
VONGJENMD1,2016-07-07,"KJW,MAR",Band,GRCA,2651-47575,"W,O/A",SY,M,CP,0.5,21.7,86,90,28.48,NA,10:41
VONGJENMD1,2008-06-12,NA,Band,GRCA,2301-56046,"A,PK/P",AHY,F,NA,NA,34,85,NA,33.1,"yearColumn = 2008, banded_6/12 -",NA
VONGJENMD1,2008-06-12,NA,Band,SOSP,2341-30007,"Y/BK,A",AHY,M,NA,NA,16.8,66,NA,25.28,"yearColumn = 2008, banded_6/12 -",NA
VONGJENMD1,2008-06-12,NA,Band,NOCA,2301-56047,"A/W,G",HY,U,NA,NA,33.3,87,NA,27.43,"yearColumn = 2008, banded_6/12 -",NA
VONGJENMD1,2008-06-12,NA,Band,AMRO,1272-43104,"BU,A/O",AHY,M,NA,NA,66.5,131,NA,37.56,"yearColumn = 2008, banded_6/12 -",NA
VONGJENMD1,2008-06-12,NA,Band,CACH,2540-62906,"G,R/A",AHY,F,NA,NA,7.7,61,NA,18.28,"yearColumn = 2008, banded_6/12 -",NA
VONGJENMD1,2008-06-12,NA,Band,CARW,2341-30008,"G/Y,A",AHY,M,NA,NA,18.5,62,NA,26.49,"yearColumn = 2008, banded_6/12 -",NA
VONGJENMD1,2009-06-23,NA,Band,GRCA,2411-37402,"A/O,PK",SY,F,NA,NA,34.8,85,NA,27.19,"yearColumn = 2009, banded 6/23 -",NA
VONGJENMD1,2009-06-23,NA,Band,GRCA,2411-37403,"Y,PK/A",AHY,M,NA,NA,37.9,92,NA,28.33,"yearColumn = 2009, banded -",NA
VONGJENMD1,2009-06-23,NA,Band,GRCA,2411-37404,"PK,BU/A",AHY,M,NA,NA,35.1,93,NA,27.59,"yearColumn = 2009, banded 6/23 -",NA
VONGJENMD1,2009-06-23,NA,Band,CACH,2590-32309,"BU/BK,A",U,U,NA,NA,8.5,58,NA,14.21,"yearColumn = 2009, banded 6/23 -",NA
VONGJENMD1,2009-06-23,NA,Band,HOWR,2590-82310,"O,A/BU",AHY,F,NA,NA,9.5,49,NA,17.26,"yearColumn = 2009, banded 6/23 -",NA
VONGJENMD1,2009-06-23,NA,Band,NOCA,2411-37405,"BU,A/R",AHY,M,NA,NA,42.2,95,NA,25.54,"yearColumn = 2009, banded 6/23 -",NA
VONGJENMD1,2009-06-23,NA,Band,CACH,2590-82308,"P/A,G",AHY,M,NA,NA,11,63,NA,16.03,"yearColumn = 2009, banded 6/23; yearColumn = 2010, recaptured 5/10; resighted by participant 10 April, 7 sept -",NA
VONGJENMD1,2009-06-23,NA,Band,GRCA,2411-37406,"PK/A,W",AHY,M,NA,NA,33.5,88.5,NA,27.5,"yearColumn = 2009, banded 6/23; yearColumn = 2012, Resighted 6/7/2012; resighted by participant 06/30/2012; yearColumn = 2014, resighted by participant 24 May; yearColumn = 2015, resighted by participant 24 May -",NA
